subject,verb,object,place,time
an animal,plays,a pear,in my house,at sunset
a fruit,hurts,the blues,besides the point,at dawn
the head,thinks,the thought,in Zurich,at 6:13pm
the phone,forgets,the book,inside a bus,on Thursday
the bottle,ponders,the hand,in the Rhine,in the morning
a book,reflects,the body,on the roof,in the early morning before the birds sing
an NFT,puts,the eye,in a room,at nighttime
some tea,watches,the ear,in a teapot,in 2025
a bin,sees,the skin,on top of a car,tomorrow
the shelf,hears,the dark green grass,inside a restaurant,yesterday
the chair,eats,the beautiful card,inside her head,in the future
the folder,drinks,the hot bubble,underneath a glass orb,in the past
